Year,Site,Lat,Lon
2023,Eagle Bay,48.836638,-125.14306
2023,Grappler Narrows,48.834557,-125.11087
2023,Strawberry Point,48.832543,-125.129646
2023,BMSC,48.835482,-125.135242
